taxonid,assessmentid,kingdom,phylum,class,order,family,genus,species,infrarank,infratype,subpopulation,friendly_name,taxonomic_authority,category,criteria,possibly_extinct,possibly_extinct_wild,assessmentdate,assessors,evaluators,contributors,facilitators
10303,3191980,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,DUGONGIDAE,Hydrodamalis,gigas,,,,Hydrodamalis gigas,"(Zimmermann, 1780)",Ex,,FALSE,FALSE,01-Jan-88,,,,
10303,3191997,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,DUGONGIDAE,Hydrodamalis,gigas,,,,Hydrodamalis gigas,"(Zimmermann, 1780)",EX,,FALSE,FALSE,30-Jun-08,"Domning, D., Anderson, P.K. & Turvey, S.","Reynolds III, J.E. & Powell, J.A. (Sirenia Red List Authority)",,
10303,3192067,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,DUGONGIDAE,Hydrodamalis,gigas,,,,Hydrodamalis gigas,"(Zimmermann, 1780)",EX,,FALSE,FALSE,01-Aug-96,World Conservation Monitoring Centre,,,
10303,3192111,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,DUGONGIDAE,Hydrodamalis,gigas,,,,Hydrodamalis gigas,"(Zimmermann, 1780)",Ex,,FALSE,FALSE,01-Jan-86,,,,
10303,3192128,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,DUGONGIDAE,Hydrodamalis,gigas,,,,Hydrodamalis gigas,"(Zimmermann, 1780)",Ex,,FALSE,FALSE,01-Jan-90,,,,
10303,3192145,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,DUGONGIDAE,Hydrodamalis,gigas,,,,Hydrodamalis gigas,"(Zimmermann, 1780)",Ex,,FALSE,FALSE,01-Jan-94,,,,
10340,3194951,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Hydrurga,leptonyx,,,,Hydrurga leptonyx,"(de Blainville, 1820)",LC,,FALSE,FALSE,30-Jun-08,"Southwell, C. (IUCN SSC Pinniped Specialist Group)","Kovacs, K. & Lowry, L. (Pinniped Red List Authority)",,
10340,3195216,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Hydrurga,leptonyx,,,,Hydrurga leptonyx,"(de Blainville, 1820)",LR/lc,,FALSE,FALSE,01-Aug-96,Seal Specialist Group,,,
10707,3208200,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Hyperoodon,ampullatus,,,,Hyperoodon ampullatus,"(Forster, 1770)",LR/cd,,FALSE,FALSE,01-Aug-96,Cetacean Specialist Group,,,
10707,3208323,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Hyperoodon,ampullatus,,,,Hyperoodon ampullatus,"(Forster, 1770)",V,,FALSE,FALSE,01-Jan-86,,,,
10707,3208523,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Hyperoodon,ampullatus,,,,Hyperoodon ampullatus,"(Forster, 1770)",DD,,FALSE,FALSE,30-Jun-08,"Taylor, B.L., Baird, R., Barlow, J., Dawson, S.M., Ford, J., Mead, J.G., Notarbartolo di Sciara, G., Wade, P. & Pitman, R.L.","Hammond, P.S. & Perrin, W.F. (Cetacean Red List Authority)",,
10707,3208758,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Hyperoodon,ampullatus,,,,Hyperoodon ampullatus,"(Forster, 1770)",K,,FALSE,FALSE,01-Jan-94,,,,
